"Genotype","AD-NC_ASYM","AD-NC_SYM","MCI","control","NA"
"n","67","76","110","75","96"
"Age","86.4 ± 4.35","88.1 ± 3.36","87.5 ± 3.86","84.6 ± 5.87","87.6 ± 4.28"
"Education","16.5 ± 3.2","16.7 ± 3.21","15.9 ± 3.65","16.1 ± 3.7","16.5 ± 3.44"
"Males","18","17","39","31","31"
"Females","49","59","71","44","65"
"23","12","3","13","12","21"
"24","1","3","1","1","1"
"33","40","31","76","49","52"
"34","14","36","19","11","18"
"44","0","2","0","0","2"
"Unknown","0","1","0","0","0"
"22","0","0","1","2","2"
